ZN,INDUS,CHAS,AGE,RAD,TAX,B,MEDV,CRIM_stand,RM_stand,LSTAT_stand,DIS_stand,PTRATIO_stand,B_stand,ZN_stand,INDUS_norm,NOX_norm,AGE_norm,RAD_norm,TAX_norm,IQV,IAH
18.0,2.31,0,65.2,1,296.0,396.9,24.0,-0.4197819386460083,0.4136718893017581,-1.0755623045678657,0.14021360349292905,-1.4590003802772022,0.4410519326070325,0.28482986096735546,0.06781524926686218,0.31481481481481477,0.6416065911431514,0.0,0.20801526717557245,160.15194363786955,0.3228071209041545
0.0,7.07,0,78.9,2,242.0,396.9,21.6,-0.4173392644935286,0.19427445318162764,-0.492439365735295,0.5571598750882428,-0.30309414801650153,0.4410519326070325,-0.48772236467012914,0.2423020527859238,0.17283950617283939,0.7826982492276005,0.043478260869565216,0.10496183206106868,38.804999884599866,0.14143391745254894
0.0,7.07,0,61.1,2,242.0,392.83,34.7,-0.4173415919581808,1.282713681725651,-1.208727398772419,0.5571598750882428,-0.30309414801650153,0.39642699409025545,-0.48772236467012914,0.2423020527859238,0.17283950617283939,0.5993820803295572,0.043478260869565216,0.10496183206106868,38.831835079870864,0.3589374910733969
0.0,2.18,0,45.8,3,222.0,394.63,33.4,-0.416750415936523,1.0163025092940647,-1.3615168226492227,1.0777366189304816,0.11303209559735014,0.41616283913453045,-0.48772236467012914,0.06304985337243403,0.15020576131687247,0.44181256436663235,0.08695652173913043,0.06679389312977096,33.12968402650532,0.39264163320964957
0.0,2.18,0,54.2,3,222.0,396.9,36.2,-0.41248184576439545,1.2285766520336716,-1.0265014803872408,1.0777366189304816,0.11303209559735014,0.4410519326070325,-0.48772236467012914,0.06304985337243403,0.15020576131687247,0.5283213182286303,0.08695652173913043,0.06679389312977096,16.719141281806255,0.2211904197901393
0.0,2.18,0,58.7,3,222.0,394.12,28.7,-0.4170436764826997,0.20709638126656957,-1.0433223343920266,1.0777366189304816,0.11303209559735014,0.410571016371986,-0.48772236467012914,0.06304985337243403,0.15020576131687247,0.5746652935118435,0.08695652173913043,0.06679389312977096,35.737719570304016,0.20358369357304326
12.5,7.87,0,66.6,5,311.0,395.6,22.9,-0.4102428247689828,-0.3884109453452136,-0.03126761843742067,0.839243922020929,-1.505236629567631,0.42679826674172333,0.04877223646701293,0.27162756598240473,0.28600823045267487,0.6560247167868176,0.17391304347826086,0.2366412213740458,13.30049744074972,0.08698292309064562
12.5,7.87,0,96.1,5,311.0,396.9,27.1,-0.40369566670235524,-0.16046555716845437,0.910700205830578,1.024637886132401,-1.505236629567631,0.4410519326070325,0.04877223646701293,0.27162756598240473,0.28600823045267487,0.9598352214212151,0.17391304347826086,0.2366412213740458,8.892207866115578,0.05416312076809483
12.5,7.87,0,100.0,5,311.0,386.63,16.5,-0.3959347358196075,-0.9312059009411201,2.4217735905938262,1.0871964647915542,-1.505236629567631,0.3284479722710865,0.04877223646701293,0.27162756598240473,0.28600823045267487,1.0,0.17391304347826086,0.2366412213740458,6.70813832329776,0.030933228815532614
12.5,7.87,0,85.9,5,311.0,386.71,18.9,-0.40072931300313136,-0.39980821475405154,0.6233439499154895,1.3296347255527103,-1.505236629567631,0.32932512093972083,0.04877223646701293,0.27162756598240473,0.28600823045267487,0.8547888774459321,0.17391304347826086,0.2366412213740458,7.855155603970573,0.05326240668544334
12.5,7.87,0,94.3,5,311.0,392.52,15.0,-0.3943462411944837,0.13158947143301822,1.0929261242157564,1.2129791389041071,-1.505236629567631,0.393028042999297,0.04877223646701293,0.27162756598240473,0.28600823045267487,0.94129763130793,0.17391304347826086,0.2366412213740458,6.420804766996394,0.04913320951538529
12.5,7.87,0,82.9,5,311.0,396.9,18.9,-0.4068470538414287,-0.39268492137352673,0.08647835959607916,1.1559348422544233,-1.505236629567631,0.4410519326070325,0.04877223646701293,0.27162756598240473,0.28600823045267487,0.82389289392379,0.17391304347826086,0.2366412213740458,10.486998201980601,0.07272326001491813
12.5,7.87,0,39.0,5,311.0,390.5,21.7,-0.40960393572195497,-0.5636439625060962,0.4285023910267218,0.7871434644142177,-1.505236629567631,0.3708800391162776,0.04877223646701293,0.27162756598240473,0.28600823045267487,0.3717816683831102,0.17391304347826086,0.2366412213740458,12.637440845499682,0.06876970392441223
0.0,8.14,0,61.8,4,307.0,396.9,20.4,-0.34723021050775266,-0.47816444193981206,-0.6157922951037235,0.4337540466694266,1.1764658292771952,0.4410519326070325,-0.48772236467012914,0.28152492668621704,0.31481481481481477,0.6065911431513903,0.13043478260869565,0.22900763358778625,3.494261611163642,0.15299371591620708
